address,area,city,state,room_type,room_count,room_facilities,site_review_rating,site_review_count,Property_id,Property_name,Property_type
MG Road Statue. Opp secretariat south gate,Statue,Thiruvananthapuram,Kerala,Executive Room With Breakfast,80,"Room Service |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Hairdryer (on request)|Iron / Ironing board available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Shower Facility Available|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Makeup / Shaving Mirror|Slippers|Premium Amenities / Toiletries|Shaving Kit /Dental Kit|Moisturiser|Safe (on request)|Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|Snacks / Beverage|International Switch Plugs (on request)|TV|Channel Music|Mirror|Mini Refrigerator|Stationery Kit|Luggage Rack|Attached Bathroom",4.4,119,252,Property_252,Type_0
"1/498, Calvetty Road, Fort Kochi, Cochin",Fort Kochi,Ernakulam,Kerala,Standard Sea Facing  Room,26,Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Ceiling Fan|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Telephone|Housekeeping|Breakfast Available|TV|Mini Refrigerator|Attached Bathroom,4.8,5,253,Property_253,Type_1
Station Road,Railway Station,Ranchi,Jharkhand,Executive Room,6,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Shower Facility Available|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Makeup / Shaving Mirror|Shaving Kit /Dental Kit|Safe - In - Room |Bidet|Mirror|Mini Refrigerator|Attached Bathroom,4.2,25,255,Property_255,Type_0
"The Mall Road, Shimla",Main Town,Shimla,Himachal Pradesh,Deluxe Room,36,Telephone| Hot / Cold Running Water|Safe - In - Room |HD / LCD Satellite TV |Mirror|Attached Bathroom,3.9,219,257,Property_257,Type_2
"SIMSA ROAD ,KANYAL PO, CHHIYAL TEHSIL",Village Simsa,Manali,Himachal Pradesh,Family deluxe room,30,Cable / Satellite / Pay TV available|Telephone|Breakfast Available (surcharge)|Breakfast Available|TV|Mirror|Clothes Hook in Bathroom|Rooms with Attached Bathrooms|Western Toilet Seat,4,14,258,Property_258,Type_0
"Katla Bazar Kansara Street, Kakla Bazar, Near Kunj Bihari Mandir, Rawaton Ka Bass, Jodhpur, Rajasthan 342001",Mehrangarh Fort Area,Jodhpur,Rajasthan,Standard Room,5,"Room Service |Basic Bathroom Amenities|Ceiling Fan|Mineral Water|Extra Bed, Towels, Linens, Bedding (on request)|Attached Bathroom",1,1,260,Property_260,Type_2
"Close  to Mae De Deus Church, Cotula,Saligao, Goa",Calangute Area,Goa,Goa,2 Beded Room,4,Ceiling Fan|Wardrobe,5,3,261,Property_261,Type_0
"Near K.S.R.T.C Depo, Behind Lions Club, G.T Road",Madikeri,Coorg,Karnataka,Deluxe Double Non A/c,13,Newspapers|Desk in Room|Breakfast Available|Hill View from all Rooms|Coffee Table|Room Heater|Mirror|Luggage Rack,3.9,105,265,Property_265,Type_1
"Market Chhak,Narendra Kona,Grand Road, Puri",Others,Puri,Orissa,Double Bed Non A/C Room,8,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone|Shower Facility Available|Mineral Water| Hot / Cold Running Water|Housekeeping|Safe - In - Room |TV|Mirror|Attached Bathroom,3.9,48,266,Property_266,Type_2
"no.139  perumbakkam Tambaram Taluk  ( 23 sholinganallur main road, , -600100 (Above Naturals)",Sholinganallur,Chennai,Tamil Nadu,Deluxe Room,21,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Iron / Ironing board available|Refrigerator|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Window Opens|Wardrobe|HD / LCD Satellite TV |TV|Mirror|Utensils (on request)|Closet|Daily Room Cleaning|Dustbins|Ice Bucket on Demand|In-room Storage Space|Modern Toilet Facilities|Western Toilet Seat,4.6,25,269,Property_269,Type_2
"571/A, Main Candolim Beach Road,Candolim Goa",Candolim Area,Goa,Goa,Standard A/C Room,11,Room Service |Air Conditioning |Alarm Clock|Cable / Satellite / Pay TV available,4.3,25,272,Property_272,Type_2
opp Alila Diwa goa majorda,"Salcette, Goa",Goa,Goa,Deluxe rooms,9,Room Service |Dustbins|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Sufficient Lighting,5,1,274,Property_274,Type_1
"G1-302, Aquarius: Kad Developers-Marna, Siolim, Bardez. Goa",Candolim Area,Goa,Goa,2bhk villa,1,Room Service |Basic Bathroom Amenities| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries,4.6,1,277,Property_277,Type_1
"Near German Bakery, Pequen Peddem, Anjuna, Goa",Anjuna Area,Goa,Goa,Double Room,3,Room Service |Ceiling Fan|Breakfast Available (surcharge)|Window Opens|Makeup / Shaving Mirror|Mirror|Attached Bathroom|Clothes Hook in Bathroom|Dustbins|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat,4.6,13,282,Property_282,Type_0
"Camp AquaForest, Village Ghattugad, Neelkanth Mandir Road, Rishikesh,  Uttarakhand",Neelkhanth Road,Rishikesh,Uttarakhand,Luxury Tents,1,Ensuite / Private Bathroom|Mineral Water| Hot / Cold Running Water|Window Opens|Dressing Area|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Daily Room Cleaning|Dustbins|Sufficient Lighting|Western Toilet Seat,5,2,287,Property_287,Type_2
"Maria Rosa Resort, Calangute, Goa",Calangute Area,Goa,Goa,1 BHK Apartment,1,Air Conditioning,5,1,288,Property_288,Type_0
"Ghanekar Bldg,Jose Falcao Road,Near Panjim Church,Behind Old Secretariat, Panaji Goa",Panjim Area,Goa,Goa,Deluxe Room,21,Air Conditioning |Alarm Clock|Cable / Satellite / Pay TV available|Internet Connection In Room|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Window Opens|Makeup / Shaving Mirror|Coffee Table|HD / LCD Satellite TV |TV|Mirror|Attached Bathroom|Closet|Bedside Table|Clothes Hook in Bathroom|Daily Room Cleaning|Dustbins|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat,3.7,22,289,Property_289,Type_1
"Hawaii Beach Road, Behind Police Out Post, Dona Paula",Panjim Area,Goa,Goa,Terrace Rooms,4,"Room Service |Air Conditioning |Balcony / Terrace|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Hairdryer (on request)|Tea Coffee Kettle / Maker|Internet Connection In Room|Refrigerator|Toaster|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Sofa Cum Bed Available|Safe - In - Room |Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|TV|Mirror|Mini Refrigerator|Attached Bathroom|Bedside Table|Daily Room Cleaning|In-room Storage Space|In-Room Safe|Modern Toilet Facilities|Sufficient Lighting|Western Toilet Seat",4.6,25,290,Property_290,Type_2
"Camp Paradise, In front of Sam Sand Dune, Sam Village, Jaisalmer, Rajasthan",Sam Sand Dunes,Jaisalmer,Rajasthan,Deluxe camp,16,"Basic Bathroom Amenities| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Coffee Table|Mirror|Attached Bathroom",3.7,59,291,Property_291,Type_0
"Mahatma Gandhi Marg, Main Road, Ranchi",Main Road,Ranchi,Jharkhand,Standard Room,48,"Room Service |Air Conditioning |Basic Bathroom Amenities|Ensuite / Private Bathroom|Hairdryer (on request)|Telephone|Shower Facility Available|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Makeup / Shaving Mirror|Moisturiser|HD / LCD Satellite TV |Work Station|Luggage Rack|Attached Bathroom",4.5,46,292,Property_292,Type_1
"C-742 Sushantlok 1, Gurgaon",Sushant Lok,Gurgaon,Haryana,Deluxe Room,6,Room Service |Housekeeping|Mirror|Daily Room Cleaning|Dustbins,4.7,6,293,Property_293,Type_2
"Casa De Cris, Mobor, Cavelossim, Salcette - Goa",Mobor Beach Area,Goa,Goa,AC Standard,30,Air Conditioning |Balcony / Terrace|Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Clothes Dryer|Iron / Ironing board available|Tea Coffee Kettle / Maker|Refrigerator|Shared Bathroom| Hot / Cold Running Water|Safe - In - Room,4,1,296,Property_296,Type_2
Near Ganesh Temple and Bajaj Service Center Babu Line Aberdeen,Aberdeen Bazar,Port Blair,Andaman and Nicobar Islands,Two Bed Room,9,Room Service |Basic Bathroom Amenities|Ceiling Fan|Mirror|Dustbins,3,1,298,Property_298,Type_1
"284/30, Opp. Alpine Industrial Estate, Military Road, Marol, Andheri (E)",Andheri,Mumbai,Maharashtra,Deluxe Room,35,Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Iron / Ironing board available|Internet Connection In Room|Telephone|Safe - In - Room |TV,3.2,10,299,Property_299,Type_2
"1520-22, Sangtrashan Bazar, Pahar Ganj, Behind Vivek Hotel, Paharganj, 110055 New Delhi",Paharganj,Delhi,Delhi,Standard Room with Fan,12,Ceiling Fan|Internet Connection In Room|Housekeeping|International Switch Plugs (on request)|TV|Mirror,3.7,32,300,Property_300,Type_0
"#123, Needarajappaiyar Street, (Near Amudha Surabi)",Others,Pondicherry,Pondicherry,Citi Standard,16,Room Service |Air Conditioning |Internet Connection In Room| Hot / Cold Running Water|Toiletries|Air Cooler|HD / LCD Satellite TV,3.7,197,301,Property_301,Type_1
"Colomb Near Masjid, South End Palolem Beach, Canacona, Goa.",Palolem Beach Area,Goa,Goa,Standard A/C Room,10,Air Conditioning |Ensuite / Private Bathroom|Telephone|Safe - In - Room |TV,4.1,134,304,Property_304,Type_1
D 21 / 12- A Chaussati Ghat.,Choushotti Ghat,Varanasi,Uttar Pradesh,Standard A/c Room,10,Air Conditioning,3.6,1,306,Property_306,Type_0
"No1, Brunton Cross Road",City Center - Mg Road / Near,Bangalore,Karnataka,Executive Suite,44,Air Conditioning |Alarm Clock|Cable / Satellite / Pay TV available|Mini bar - On Charge |Internet Connection In Room|Refrigerator|Newspapers| Hot / Cold Running Water|Safe - In - Room |Attached Bathroom,4.1,6,307,Property_307,Type_1
"Vilaspur tank,","Near Dr.Zakir Hussain Circle,Ek Minar Road",Raichur,Karnataka,Cottages,18,"Basic Bathroom Amenities|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Makeup / Shaving Mirror|Wardrobe|Mirror|Luggage Rack|Attached Bathroom",4.3,3,315,Property_315,Type_0
"54, Patliputra Colony, Sayog Hospital Road, Patliputra, Patna 800013",Patliputra Industrial Area,Patna,Bihar,Club Deluxe Room,29,"Heating Facility (on request) |Telephone|Shower Facility Available|Newspapers|Shower Caps Available|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Makeup / Shaving Mirror|Climate Control|Sofa Cum Bed Available|Slippers|Primium Bathrooms|Premium Amenities / Toiletries|Shaving Kit /Dental Kit|Moisturiser|Fruit Basket|Coffee Table|Wardrobe|HD / LCD Satellite TV |Split A.C's|Pillow menu|Snacks / Beverage|International Switch Plugs (on request)|Soundproof Windows|Mirror|Mini Refrigerator|Stationery Kit|Luggage Rack",4,20,317,Property_317,Type_2
"No 3a, Main Road, Sarita Vihar  Mcd Dispensary Main Market , Delhi",Others,Delhi,Delhi,deluxe,68,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water|Primium Bathrooms|Mirror|Dustbins|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin,1,1,319,Property_319,Type_1
"Peharsar, Jaipur - Agra Road, Nadbai, Bharatpur",Fatehpur Sikri Road,Bharatpur,Rajasthan,Deluxe Room,11,Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Tea Coffee Kettle / Maker|Mini bar - On Charge |HD / LCD Satellite TV |Room Heater|Mini Refrigerator|Attached Bathroom,4.5,8,322,Property_322,Type_1
"S.A.R.M. House (Behind Raja's Palace), 11, Ar. Street, Kanadukathan, Karaikudi, Tamil Nadu",S.A.R.M. House,Karaikkudi,Tamil Nadu,Deluxe Heritage Room,12,Air Conditioning |Basic Bathroom Amenities|Ensuite / Private Bathroom|Tea Coffee Kettle / Maker|Telephone,5,10,327,Property_327,Type_0
"Bungalow 6,Marine House,Madhuras Estate,Lonavala",Valvan,Lonavala,Maharashtra,3 Bedded Room House,1,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Microwave Oven Available |Refrigerator| Hot / Cold Running Water|TV|Attached Bathroom,3.6,1,328,Property_328,Type_1
"Old Airport Road, Old Airport Road","Old Airport Road, Hal",Bangalore,Karnataka,Deluxe AC Room,36,Air Conditioning |Cable / Satellite / Pay TV available|Internet Connection In Room|Telephone|Newspapers|Breakfast Available|Attached Bathroom,4.9,3,332,Property_332,Type_2
"Junas Waddo, Mandrem beach, Mandrem Goa",Other North Goa Beaches,Goa,Goa,Wooden Cottage,22,Basic Bathroom Amenities|Cable / Satellite / Pay TV available| Hot / Cold Running Water|Housekeeping|Makeup / Shaving Mirror|Attached Bathroom,3.7,11,334,Property_334,Type_1
"Near Government Degree College,Hamirpur",New Road,Hamirpur,Himachal Pradesh,Semi Deluxe Room,25,Room Service |Housekeeping|Attached Bathroom,4.5,27,335,Property_335,Type_2
"Kanyal Road, (opp Sojourn  cottage) , Simsa, Manali HP",Kanyal Road,Manali,Himachal Pradesh,Deluxe Room,8,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Telephone|Breakfast Available|Toiletries,4.2,7,337,Property_337,Type_1
"Near Infosys, Old Mahabalipuram Road, Sholinganallur",Sholinganallur,Chennai,Tamil Nadu,Deluxe Rooms,37,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room,4.3,2,341,Property_341,Type_2
"Mandarmoni Beach Road, Dadanpatrabar",Beach Road,Mandarmani,West Bengal,Superior Double Bedded Non AC Room (Ground Floor),20,Room Service |Telephone| Hot / Cold Running Water|TV|Attached Bathroom|Bathtub,4.2,185,342,Property_342,Type_0
"Jalapahar Road,Darjeeling",Others,Darjeeling,West Bengal,Deluxe Room,35,Room Service |Hairdryer (on request)|Telephone|Shower Facility Available|Reading Lamps|Housekeeping|Breakfast Available|Toiletries|TV|Mirror|Luggage Rack|Attached Bathroom|Bathtub,5,2,343,Property_343,Type_1
"Near PERD Centre, Sola Over Bridge, Thaltej, Ahmedabad Gujarat.",S.G. Road,Ahmedabad,Gujarat,Deluxe Room,125,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Hairdryer (on request)|Iron / Ironing board available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Telephone|Shower Facility Available|Breakfast Available (surcharge)|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Coffee Table|HD / LCD Satellite TV |Sofa Table / Extra Seats |TV|Rollaway Beds|Mini Refrigerator|Luggage Rack|Attached Bathroom|Bedside Table|Clothes Hook in Bathroom|Curtains/Shades|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|In-room Storage Space|Modern Toilet Facilities|Rooms with Attached Bathrooms|Telephone in Toilet|Western Toilet Seat|Breakfast chargeable",2.9,55,345,Property_345,Type_0
"2, Manoramaganj, A.B. Road Palasia Square,Indore Madhya Pradesh 452001.",A B Road,Indore,Madhya Pradesh,Executive Single Room,23,Mini bar - On Charge |Internet Connection In Room|Telephone|Mirror|Dressing Area,3.7,107,346,Property_346,Type_1
"landhour bazar, clock tower mussoorie",Landour,Mussoorie,Uttarakhand,Semi Deluxe Room,10,"Room Service |Basic Bathroom Amenities|Ceiling Fan|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Makeup / Shaving Mirror|TV|Mirror|Luggage Rack|Attached Bathroom",3.1,85,347,Property_347,Type_2
"R16,Parivahan Marg,Near Civil Lines,C-Scheme",Station Area/Sindhi Camp,Jaipur,Rajasthan,Suite Room,31,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available| Hot / Cold Running Water|Attached Bathroom,4.8,5,348,Property_348,Type_0
"No 26/1, Luke Church Road, Kamaraj Square, Kotagiri The Nilgiris",Kotagiri,Kotagiri,Tamil Nadu,Deluxe,9,Room Service |Air Conditioning |Basic Bathroom Amenities|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Desk in Room|Mirror|Attached Bathroom,3,19,352,Property_352,Type_1
"Aleo, Manali Nagar Road","Aleo, Left Bank",Manali,Himachal Pradesh,Deluxe Room,22,Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone,3.5,11,355,Property_355,Type_1
"Malikayil Near Sree Hanuman Temple, Nehru trophy Road, Alleppey",Finishing Point Road,Alleppey,Kerala,Standard A/c,13,Room Service |Air Conditioning |Housekeeping|Breakfast Available|TV|Attached Bathroom,3.3,14,357,Property_357,Type_0
"Chobhyal Cottage, Chamba Road, (Vaikunt Nagar Dalhousie Hills at Banikhet",Khajjiar Road,Dalhousie,Himachal Pradesh,Deluxe Room,8,Basic Bathroom Amenities|Cable / Satellite / Pay TV available| Hot / Cold Running Water|Housekeeping|Makeup / Shaving Mirror|Attached Bathroom,3.6,2,358,Property_358,Type_1
"Near Candolim Beach, Camotim Vaddo, Candolim",Candolim Area,Goa,Goa,Villa Room,1,Room Service |Basic Bathroom Amenities|Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Toiletries|HD / LCD Satellite TV |Mirror|Attached Bathroom,4,1,363,Property_363,Type_0
"Opp. D-335, Near Birlasoft, Sector-63, Noida, G.B. Nagar, U.P.",Others,Noida,Uttar Pradesh,Deluxe Room,17,"Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Crockery / Cutlery|Heating Facility (on request) |Kitchenette|Internet Connection In Room|Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Slippers|Blackout Drapes|Safe - In - Room |Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |TV|Room Heater|Studio Apartment - Large|Mirror|Custom Duvets / Linen|Mini Refrigerator|Utensils (on request)|Work Station|Dressing Area|Attached Bathroom",3.5,15,364,Property_364,Type_1
125 gst road chromepet,Chrompet,Chennai,Tamil Nadu,Standard Room,3,Breakfast Available,3.7,84,368,Property_368,Type_2
"Temi Tea Garden,South Sikkim",Sichey,Gangtok,Sikkim,Deluxe Room,24,Air Conditioning |Basic Bathroom Amenities|Ensuite / Private Bathroom|Telephone| Hot / Cold Running Water|HD / LCD Satellite TV |Mirror,4.8,2,369,Property_369,Type_0
"Blueberry Inn,Rita Road next to Pinewood",Police Bazar,Shillong,Meghalaya,Suite Room,17,Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Heating Facility (on request) |Tea Coffee Kettle / Maker|Refrigerator|Newspapers| Hot / Cold Running Water|HD / LCD Satellite TV |Work Station,4.5,31,373,Property_373,Type_1
"Pangong Lake, Spangmik, Leh 194101 Leh  Jammu and Kashmir, India","Pangong Lake, Spangmik",Leh,Jammu and Kashmir,Deluxe Tent,15,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Heating Facility (on request) |Iron / Ironing board available|Housekeeping|Breakfast Available|Rooms with Attached Bathrooms,2,1,374,Property_374,Type_2
"Nohra, Sirmaur",rajgarh,Sirmaur,Himachal Pradesh,DoubleBed Standard,20,Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan,5,1,375,Property_375,Type_0
"Taliwado, Chiklim, Colvale",Others,Goa,Goa,Casa Star,15,Air Conditioning |Alarm Clock|Cable / Satellite / Pay TV available| Hot / Cold Running Water|HD / LCD Satellite TV |Attached Bathroom,3.8,5,376,Property_376,Type_1
"Village Bijaipur,Via Bassi,Chittorgarh",Village Bijaipur,Chittorgarh,Rajasthan,Deluxe Room,30,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Internet Connection In Room|Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Safe - In - Room |HD / LCD Satellite TV |Mirror|Attached Bathroom,2.3,4,378,Property_378,Type_0
"D.B. Bandodkar Marg,Opp. Swimming Pool,Near Indoor Stadium, Campal,Panjim",Panjim Area,Goa,Goa,Double Non AC,10,"Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Shower Facility Available|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Makeup / Shaving Mirror|Coffee Table|Wardrobe|TV|Mirror|Attached Bathroom|Daily Room Cleaning|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat",3.6,24,381,Property_381,Type_0
"Parayil Square, Kandath Complex,GB Road,Palakkad",Gb Road,Palakkad,Kerala,AC Suite Room,26,Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone| Hot / Cold Running Water|Housekeeping|Coffee Table|Wardrobe|Split A.C's|TV|Mirror|Dressing Area|Attached Bathroom,4.4,202,382,Property_382,Type_1
"Fort Gate Road ,Pushkar Ghat Road",Pushkar Ghat,Rajahmundry,Andhra Pradesh,Standard Ac Room,23,Basic Bathroom Amenities,3.1,223,383,Property_383,Type_2
"Vandanmedu,Idukki District",Kumily,Thekkady,Kerala,Deluxe Room,18,Room Service |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom|Iron / Ironing board available|Internet Connection In Room|Telephone|Shower Facility Available|Newspapers|Toiletries|Safe - In - Room |TV,4.3,32,386,Property_386,Type_2
"Uphill of Race Course, Mount Peasant Road,",Race Course Area,Ooty,Tamil Nadu,Club Room,13,Room Service |Basic Bathroom Amenities|Telephone| Hot / Cold Running Water|Safe - In - Room |Bidet|Coffee Table|TV|Mirror|Attached Bathroom,3.6,18,387,Property_387,Type_0
"Nh-21, Near Old Chandigarh Airport, Zirakpur.",Zirakpur,Chandigarh,Punjab,Deluxe Room,84,Room Service |Basic Bathroom Amenities|Ensuite / Private Bathroom|Housekeeping|Daily Room Cleaning,4.2,3,390,Property_390,Type_0
"2339-41, Rajguru Road, Chuna Mandi, Paharganj",Paharganj,Delhi,Delhi,Standard NON AC Room,37,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Heating Facility (on request) |Iron / Ironing board available|Internet Connection In Room|Telephone,4.7,3,391,Property_391,Type_1
A 12 A Beside Shoprix Mall  Sector 61 Noida,Near Kanchanjanga Market Sector 53,Noida,Uttar Pradesh,Deluxe Room,14,"Room Service |Air Conditioning |Balcony / Terrace|Crockery / Cutlery|Hairdryer (on request)|Iron / Ironing board available|Tea Coffee Kettle / Maker|Internet Connection In Room|Newspapers|Mineral Water|Shoe Shine|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Window Opens|Climate Control|Sofa Cum Bed Available|Blackout Drapes|Safe - In - Room |Fruit Basket|Coffee Table|Split A.C's|Centrally Heated|International Switch Plugs (on request)|TV|Room Heater|Channel Music|Mini Refrigerator|Movies &amp; Games on demand|Dressing Area|Luggage Rack|Closet|Bedside Table|Complete Bedding|Curtains/Shades|Do-Not-Disturb Notice|Dustbins|Ice Bucket on Demand|In-room Storage Space|In-Room Safe|Sanitary Bin|Sufficient Lighting|Western Toilet Seat",5,1,392,Property_392,Type_2
"Village Chuchot Shamma, Near Shashi Bridge and Old Primary School, Leh, Ladakh, India",Others,Leh,Jammu and Kashmir,Alpine Tent,15,Room Service |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Crockery / Cutlery|Heating Facility (on request) |Full Kitchen|Radio|Toaster|Mineral Water|Housekeeping|Desk in Room|Breakfast Available|Toiletries|Slippers|Moisturiser|Hill View from all Rooms|Snacks / Beverage|Sandwich Maker|Mirror|Utensils (on request)|Gas Cylinder - Chargeable|Local Calls Free|Attached Bathroom,4.7,17,393,Property_393,Type_0
"11-B, Chowringhee Lane, Near Park Street",Park Street Area,Kolkata,West Bengal,Single Ac Room,19,Room Service |Air Conditioning |Telephone|Newspapers|TV|Attached Bathroom,2.4,102,394,Property_394,Type_1
"Willingdon Island, Cochin, Kerala",Willingdon Island,Ernakulam,Kerala,Superior Room,99,Air Conditioning |Cable / Satellite / Pay TV available|Telephone| Hot / Cold Running Water,4.3,20,396,Property_396,Type_0
"34, Sardar Club Scheme, Opp Polo Ground, Ratanada","Panch Batti Circle, Airport Rd",Jodhpur,Rajasthan,Deluxe Room,10,"Room Service |Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Tea Coffee Kettle / Maker|Internet Connection In Room|Refrigerator|Telephone|Shower Facility Available|Newspapers|Reading Lamps|Shower Caps Available|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Premium Amenities / Toiletries|Moisturiser|Blackout Drapes|Safe - In - Room |Safe (on request)|Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|Soundproof Windows|TV|Room Heater|Mirror|Mini Refrigerator|Dressing Area|Luggage Rack|Attached Bathroom",4.5,231,399,Property_399,Type_0
